user_id,id_group,ad_date,purchase_date,promo_type,time_left
5061,1,2021-02-06,,Gold Bundle,2020-08-23
4616,1,2021-03-07,2021-03-20,Platinum Bundle,2020-12-26
842,1,2021-04-13,2021-05-28,Platinum Bundle,2021-01-02
3571,1,2021-04-01,2021-05-10,Bundle Limited,2020-10-21
4642,1,2021-08-18,,Platinum Bundle,2021-06-08
370,0,2021-02-01,2021-03-23,Std Bundle,2020-09-20
4466,1,2021-04-28,2021-05-27,Platinum Bundle,2021-01-20
2692,1,2021-05-01,2021-06-11,Platinum Bundle,2021-01-17
3891,1,2021-04-13,2021-05-27,Platinum Bundle,2020-12-08
608,1,2021-07-06,,Std Bundle,2021-04-22
5461,1,2021-05-16,,Std Bundle,2020-12-22
4838,1,2021-04-01,2021-05-16,Bundle Limited,2020-10-18
3103,1,2021-04-01,2021-05-24,Gold Bundle,2020-11-06
208,1,2021-02-03,2021-02-06,Platinum Bundle,2020-11-13
4524,0,2021-04-10,2021-05-10,Std Bundle,2021-01-09
1127,1,2021-01-07,2021-01-19,Platinum Bundle,2020-09-20
2623,1,2021-05-17,2021-07-08,Bundle Limited,2020-12-18
4162,1,2021-03-17,2021-04-01,Platinum Bundle,2020-10-08
1332,1,2021-02-08,2021-03-29,Gold Bundle,2020-11-05
4224,1,2021-05-11,2021-06-01,Platinum Bundle,2020-12-30
2493,1,2021-02-10,2021-03-07,Platinum Bundle,2020-10-23
4368,1,2021-03-07,2021-05-06,Gold Bundle,2020-11-02
4713,1,2021-05-17,2021-06-07,Platinum Bundle,2021-04-05
4550,1,2021-02-15,2021-04-07,Gold Bundle,2020-11-17
3401,1,2021-05-06,2021-06-14,Gold Bundle,2021-01-21
5549,1,2021-05-18,2021-07-19,Gold Bundle,2020-11-22
5790,1,2021-03-30,2021-05-26,Gold Bundle,2020-11-18
2879,1,2021-08-09,2021-08-21,Platinum Bundle,2021-03-14
1896,1,2021-01-21,2021-01-30,Platinum Bundle,2020-11-21
2950,1,2021-04-04,,Std Bundle,2020-10-29
5322,1,2021-01-15,2021-02-09,Platinum Bundle,2020-07-31
4459,0,2021-01-08,,Std Bundle,2020-09-02
1283,1,2021-01-15,2021-01-21,Platinum Bundle,2020-10-11
776,1,2021-05-19,2021-06-16,Platinum Bundle,2021-02-05
5304,1,2021-05-20,2021-05-27,Gold Bundle,2021-04-14
632,1,2021-04-16,2021-05-15,Gold Bundle,2020-12-26
1217,1,2021-03-07,2021-03-25,Platinum Bundle,2021-01-04
4306,1,2021-04-10,,Std Bundle,2020-10-14
1308,1,2021-04-06,2021-05-27,Bundle Limited,2021-01-26
2197,1,2021-03-03,2021-04-02,Gold Bundle,2020-10-06
4135,0,2021-05-04,,Std Bundle,2020-11-10
5487,1,2021-01-02,,Std Bundle,2020-10-11
5681,1,2021-07-19,2021-08-16,Gold Bundle,2021-04-13
5103,1,2021-05-16,2021-06-08,Gold Bundle,2021-01-01
4404,0,2021-02-04,2021-04-01,Std Bundle,2020-11-22
2008,1,2021-05-10,2021-06-07,Platinum Bundle,2020-12-28
3014,1,2021-01-05,2021-01-29,Platinum Bundle,2020-10-13
1157,1,2021-05-27,2021-07-05,Bundle Limited,2021-02-05
3740,1,2021-04-06,2021-04-29,Platinum Bundle,2021-01-28
3767,1,2021-07-21,2021-08-09,Platinum Bundle,2021-05-26
2505,0,2021-03-26,,Std Bundle,2021-02-13
5749,1,2021-05-31,2021-06-25,Platinum Bundle,2020-12-04
4185,1,2021-04-02,2021-04-28,Platinum Bundle,2020-10-08
4720,1,2021-03-26,2021-04-01,Gold Bundle,2020-11-08
2679,1,2021-07-08,2021-07-27,Platinum Bundle,2021-04-10
2739,1,2021-04-06,,Std Bundle,2021-01-26
2796,1,2021-04-27,2021-05-15,Platinum Bundle,2021-01-08
4237,1,2021-04-16,2021-05-02,Platinum Bundle,2020-10-25
4365,1,2021-04-30,2021-05-18,Gold Bundle,2020-12-10
3581,1,2021-06-09,2021-07-21,Bundle Limited,2020-12-23
2946,1,2021-05-31,,Std Bundle,2021-03-14
866,1,2021-05-30,2021-06-05,Gold Bundle,2021-04-22
37,0,2021-05-30,,Std Bundle,2021-01-12
1177,0,2021-02-10,2021-02-21,Std Bundle,2020-12-18
2318,1,2021-01-25,2021-02-06,Gold Bundle,2020-11-25
3750,0,2021-04-05,,Std Bundle,2020-12-21
4735,1,2021-01-11,,Gold Bundle,2020-07-17
2421,1,2021-01-20,2021-02-21,Gold Bundle,2020-12-20
1208,1,2021-05-30,2021-06-07,Platinum Bundle,2021-03-31
5653,1,2021-03-08,2021-04-02,Platinum Bundle,2020-11-11
2371,1,2021-03-17,2021-03-21,Platinum Bundle,2021-02-05
1660,1,2021-05-01,,Std Bundle,2021-01-10
5857,1,2021-01-15,2021-02-05,Platinum Bundle,2020-09-21
3784,1,2021-01-26,2021-02-08,Platinum Bundle,2020-11-27
1454,1,2021-04-18,2021-06-09,Bundle Limited,2020-11-26
963,0,2021-01-07,2021-02-13,Std Bundle,2020-12-07
1248,1,2021-05-16,2021-05-30,Platinum Bundle,2021-04-02
4216,1,2021-06-30,2021-07-08,Platinum Bundle,2021-05-07
2294,1,2021-05-04,2021-05-23,Platinum Bundle,2021-01-02
2828,0,2021-06-16,2021-07-29,Std Bundle,2021-02-25
4862,1,2021-05-24,2021-06-18,Platinum Bundle,2021-04-11
4369,0,2021-05-10,,Std Bundle,2021-01-03
1404,1,2021-01-12,2021-01-15,Gold Bundle,2020-10-13
1192,1,2021-01-07,2021-02-07,Gold Bundle,2020-08-26
3987,1,2021-04-19,2021-06-01,Std Bundle,2021-02-26
1232,1,2021-04-04,2021-05-26,Bundle Limited,2020-10-31
4931,1,2021-05-06,2021-05-23,Platinum Bundle,2020-11-09
1058,1,2021-04-19,2021-05-06,Platinum Bundle,2021-03-04
5855,1,2021-04-09,,Std Bundle,2020-10-12
4889,0,2021-03-01,,Std Bundle,2020-10-25
261,1,2021-02-18,2021-03-17,Gold Bundle,2021-01-08
3828,1,2021-02-14,2021-02-26,Platinum Bundle,2020-10-12
3269,1,2021-07-01,2021-07-13,Platinum Bundle,2021-04-28
5029,1,2021-01-27,,Std Bundle,2020-10-09
3505,1,2021-01-25,,Std Bundle,2020-08-18
2113,1,2021-05-13,2021-06-01,Platinum Bundle,2021-01-05
